;accuracy MEAN;accuracy SD
dt (100, 2000, 10, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (100, 2000, 200, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (100, 2000, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1000, 2, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1000, 20, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1000, 200, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1000, 2000, 1, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1000, 2000, 10, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1000, 2000, 200, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
dt (1000, 2000, 2000, 'cross-validation', 'Classifier');0,028000000000000004;0,0026666666666666657
knn (10, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,028000000000000004;0,004988876515698589
knn (11, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,028000000000000004;0,004988876515698589
knn (15, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,026666666666666665;0,004216370213557839
knn (20, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,025333333333333336;0,0026666666666666674
